speech_id,person_id,surname
2923502,18413,corker
2923503,182,cardin
2923504,18413,corker
2923505,18413,corker
2923506,27586,coons
2923507,18413,corker
2923508,18413,corker
2923509,18413,corker
2923510,18413,corker
2923511,18413,corker
2923512,18413,corker
2923513,18413,corker
2923514,18413,corker
2923515,18413,corker
2923516,18413,corker
2923517,18413,corker
2923518,18413,corker
2923519,182,cardin
2923520,182,cardin
2923521,182,cardin
2923522,182,cardin
2923523,182,cardin
2923524,182,cardin
2923525,18413,corker
2923526,11538,gardner
2923527,11538,gardner
2923528,11538,gardner
2923529,11538,gardner
2923530,11538,gardner
2923531,11538,gardner
2923532,11538,gardner
2923533,11538,gardner
2923534,11538,gardner
2923535,11538,gardner
2923536,11538,gardner
2923537,11538,gardner
2923538,11538,gardner
2923539,11538,gardner
2923540,18413,corker
2923541,18413,corker
2923542,18413,corker
2923543,182,cardin
2923544,18413,corker
2923545,11538,gardner
2923546,18413,corker
2923547,18413,corker
2923548,18413,corker
2923549,18413,corker
2923550,18413,corker
2923551,18413,corker
2923552,18413,corker
2923553,18413,corker
2923554,18413,corker
2923555,18413,corker
2923556,18413,corker
2923557,182,cardin
2923558,182,cardin
2923559,182,cardin
2923560,182,cardin
2923561,18413,corker
2923562,34505,perdue
2923563,34505,perdue
2923564,18413,corker
2923565,27586,coons
2923566,27586,coons
2923567,18413,corker
2923568,27586,coons
2923569,18413,corker
2923570,27586,coons
2923571,27586,coons
2923572,27586,coons
2923573,27586,coons
2923574,27586,coons
2923575,27586,coons
2923576,27586,coons
2923577,27586,coons
2923578,18413,corker
2923579,27586,coons
2923580,18413,corker
2923581,4622,shaheen
2923582,4622,shaheen
2923583,182,cardin
2923584,4622,shaheen
2923585,182,cardin
2923586,4622,shaheen
2923587,4622,shaheen
2923588,4622,shaheen
2923589,4622,shaheen
2923590,4622,shaheen
2923591,4622,shaheen
2923592,4622,shaheen
2923593,4622,shaheen
2923594,4622,shaheen
2923595,4622,shaheen
2923596,18413,corker
2923597,4622,shaheen
2923598,4622,shaheen
2923599,18413,corker
2923600,18413,corker
2923601,182,cardin
2923602,18413,corker
2923603,18413,corker
2923604,18413,corker
2923605,182,cardin
2923606,182,cardin
2923607,182,cardin
2923608,182,cardin
2923609,18413,corker
2923610,34059,perdue
2923611,34059,perdue
2923612,34059,perdue
2923613,34059,perdue
2923614,182,cardin
2923615,14903,murphy
2923616,14903,murphy
2923617,14903,murphy
2923618,18413,corker
2923619,18905,barrasso
2923620,18905,barrasso
2923621,18905,barrasso
2923622,18905,barrasso
2923623,18905,barrasso
2923624,18905,barrasso
2923625,18905,barrasso
2923626,18413,corker
2923627,31144,kaine
2923628,31144,kaine
2923629,31144,kaine
2923630,18413,corker
2923631,2442,udall
2923632,2442,udall
2923633,2442,udall
2923634,2442,udall
2923635,2442,udall
2923636,2442,udall
2923637,18413,corker
2923638,5396,isakson
2923639,5396,isakson
2923640,5396,isakson
2923641,5396,isakson
2923642,5396,isakson
2923643,5396,isakson
2923644,5396,isakson
2923645,5396,isakson
2923646,5396,isakson
2923647,5396,isakson
2923648,18413,corker
2923649,18413,corker
2923650,18413,corker
2923651,18413,corker
2923652,18413,corker
2923653,18413,corker
2923654,18413,corker
2923655,18413,corker
2923656,18413,corker
2923657,18413,corker
2923658,18413,corker
2923659,18413,corker
2923660,18413,corker
2923661,18413,corker
2923662,182,cardin
2923663,18413,corker
2923664,18413,corker
2923665,18413,corker
2923666,18413,corker
2923667,18413,corker
2923668,18413,corker
2923669,18413,corker
2923670,18413,corker
2923671,182,cardin
2923672,182,cardin
2923673,182,cardin
2923674,182,cardin
2923675,18413,corker
2923676,31144,kaine
2923677,31144,kaine
2923678,18413,corker
2923679,31144,kaine
2923680,31144,kaine
2923681,18413,corker
2923682,31144,kaine
2923683,31144,kaine
2923684,18413,corker
2923685,18413,corker
2923686,18413,corker
2923687,18413,corker
2923688,18413,corker
2923689,18413,corker
2923690,18413,corker
2923691,182,cardin
2923692,18413,corker
2923693,18413,corker
2923694,18413,corker
2923695,18413,corker
