speech_id,previous_speech_id,subsequent_speech_id,hearing_id,conversation,text
2923502,2923501,2923503,19196,1,"    The Foreign Relations Committee will come to _x000D_
order._x000D_
    I want to welcome our witness. I understand there may be _x000D_
circumstances where you may need to depart. We are just glad _x000D_
you are here. If you need to leave in 2 minutes, leave. I _x000D_
understand that there may be something occurring that will _x000D_
cause that. So please, just whatever makes you comfortable._x000D_
    I am glad to be here with our outstanding ranking member, _x000D_
who I have enjoyed working with so much. And I am glad we are _x000D_
having this hearing today on something that is so important to _x000D_
people around the world._x000D_
    I do not normally read opening statements. I think I may do _x000D_
it. We have been sort of focused on another issue for a while, _x000D_
but I think people know that since 1954, U.S. international _x000D_
food aid programs have helped to feed over 3 billion people and _x000D_
promote food security in over 150 countries. Most U.S. food aid _x000D_
is provided through Food for Peace, which is currently funded, _x000D_
on average, at $1.6 billion annually. Over the past 5 years, _x000D_
U.S. food aid has helped 56 million people, on average, per _x000D_
year._x000D_
    Today's hearing will provide the committee with an update _x000D_
on the current operations of the program, including the _x000D_
challenges it faces while responding to increasingly dangerous _x000D_
emergencies._x000D_
    This increasingly challenging global environment has _x000D_
illustrated to Congress the need for greater flexibility in how _x000D_
Food for Peace operates. The law requires that 100 percent of _x000D_
the food aid to be delivered be U.S.-purchased commodities, and _x000D_
50 percent of that is to be shipped on U.S.-flagged vessels._x000D_
    While recent reforms in the farm bill provide some _x000D_
administrative funds to be used for such things as locally and _x000D_
regionally purchased food aid and/or food vouchers, this _x000D_
limited flexibility must be executed in tandem with U.S.-_x000D_
purchased commodities. The cargo and commodity preferences _x000D_
create inefficiencies that undermine our ability to get maximum _x000D_
impact in addressing poverty and suffering from our U.S. food _x000D_
aid dollars._x000D_
    In some cases, where U.S. national security interests are _x000D_
at stake, like in Syria and other regions in conflict, U.S. _x000D_
food aid plays an important role in U.S. policy and engagement. _x000D_
These interventions would not be possible if we relied on U.S.-_x000D_
purchased commodities._x000D_
    Increasing flexibility in the Food for Peace program would _x000D_
provide up to $444 million in savings, allowing the United _x000D_
States _x000D_
to reach as many as 12 million more starving people, up to 2\1/_x000D_
2\ months faster in some cases._x000D_
    Again, I think this just jumps out at us, that self-imposed _x000D_
limitations--I am tired, I have not had a lot of sleep. I will _x000D_
just say that the special interests that capture this program _x000D_
cause people around the world to starve._x000D_
    While the impact of reforming U.S. food aid overseas is _x000D_
profound, the domestic implications are minor, as food aid only _x000D_
contributes 1.41 percent to net farm income and 0.86 percent to _x000D_
agriculture exports._x000D_
    I have joined forces with my friend and colleague, Senator _x000D_
Coons, by authorizing with him the Food for Peace Reform Act. _x000D_
We are seeking to increase the flexibility of our food aid _x000D_
programs and are looking to our witnesses today to illustrate _x000D_
why reform to the program matters._x000D_
    For many around the globe we are not yet reaching but _x000D_
could, it is a matter of life and death._x000D_
    Again, we thank you for being here. I look forward to _x000D_
turning to Senator Cardin and maybe Senator Coons, who has been _x000D_
such a champion._x000D_
    But I hope that out of this hearing, something is going to _x000D_
occur where we will do the things necessary to make sure that _x000D_
our U.S. dollars help those people that today, as we sit here _x000D_
in this comfort, are starving because of special interests here _x000D_
in our own Nation._x000D_
    With that, Senator Cardin."
2923503,2923502,2923504,19196,1,"    Senator Corker, first of all, thank you for _x000D_
convening this hearing._x000D_
    Yesterday, this committee dealt with a very visible issue _x000D_
of national security, and that is preventing Iran from becoming _x000D_
a nuclear weapon state. Today, we are dealing with another _x000D_
issue of national security, but it is not quite as visible as _x000D_
the possibility of a nuclear Iran._x000D_
    I think we all understand that extremists get their _x000D_
strength from people who are desperate and have little hope. _x000D_
And when you are hungry, you are desperate._x000D_
    So this is an issue, as I see it, of national security. It _x000D_
also, of course, is an issue of what this country stands for, _x000D_
the values of America, what this country has been, a leader _x000D_
worldwide in promoting the right values._x000D_
    So I welcome this hearing. I thank Senator Corker, I thank _x000D_
Senator Coons, for their leadership in bringing forward reform _x000D_
of our food aid and the Food for Peace program so that we can _x000D_
do more with the resources that we have._x000D_
    Senator Corker pointed out the incredible record that this _x000D_
country has had since 1954. Three billion people have benefited _x000D_
from U.S. programs in 150 countries. That is an incredible _x000D_
record._x000D_
    But let me give you one that we are not proud about. Since _x000D_
2009, the Food for Peace program has lost about 37 percent of _x000D_
its funding, in spite of the fact that the international need _x000D_
has grown. Today, 805 million people are estimated to be _x000D_
chronically hungry; and 51.2 million people have been displaced _x000D_
by conflict. So the needs today are greater, and the resources _x000D_
are less._x000D_
    The United States has provided international leadership. _x000D_
Because I represent the Senate at the United Nations, along _x000D_
with Senator Johnson, I have had the opportunity to be up at _x000D_
the United Nations to talk about the millennium development _x000D_
goals and discuss where we have been successful. But to get _x000D_
people out of poverty and hunger is an international effort._x000D_
    These millennium development goals are working. But U.S. _x000D_
leadership is critically important._x000D_
    So we have to do a better job with Food for Peace. And the _x000D_
legislation that the two of you have brought forward is about _x000D_
using our money more efficiently. It has been estimated that we _x000D_
could serve as many as 8 million to 12 million more people with _x000D_
the same amount of resources, if we reform the system--8 _x000D_
million to 12 million. I know numbers. You do not see numbers. _x000D_
You could have all those people here today. I think it would be _x000D_
a very visible reminder that we have to do a better job, and it _x000D_
really could have a major impact on our goals and on our _x000D_
national security._x000D_
    I do want to give a word of caution. There are serious _x000D_
issues that have to be resolved, if we are going to be able to _x000D_
move this legislation forward. We have concerns in the maritime _x000D_
industry. We have concerns with U.S. agriculture. We have _x000D_
concerns by the partnerships with our NGOs, dealing with _x000D_
lockbox and monetization and other issues. These are legitimate _x000D_
concerns, and we are going to have to work through that._x000D_
    But, Mr. Chairman, if we can work through the nuclear _x000D_
review agreement, this should be a piece of cake. We should be _x000D_
able to get this done._x000D_
    So I look forward to hearing from our witnesses. I would _x000D_
ask unanimous consent that I can put statements in the record _x000D_
from Catholic Relief Services, which is headquartered in _x000D_
Baltimore, MD; the U.S. Maritime Industry; and Bread for the _x000D_
World."
2923504,2923503,2923505,19196,1,"    Without objection._x000D_
_x000D_
the ``Additional Material Submitted for the Record'' section at "
2923505,2923504,2923506,19196,1,"    I am glad that these entities that have so _x000D_
much to do with this program will have a chance. I know we _x000D_
tried to accommodate additional witnesses. But anyway, I am _x000D_
glad you made that statement._x000D_
    I wonder if Senator Coons would like to make an opening _x000D_
comment."
2923506,2923505,2923507,19196,1,"    Thank you, Chairman Corker. I will be brief._x000D_
    I just want to thank Ranking Member Cardin and you, _x000D_
Chairman Corker, for continuing to bring forward a spirit of _x000D_
bipartisanship and a focus on important and difficult issues._x000D_
    Out of yesterday's markup, I continue to be optimistic we _x000D_
can tackle all sorts of big challenges._x000D_
    Food aid reform is one that has eluded any significant _x000D_
progress for a long time. As you have both cited, it has made _x000D_
enormous impacts around the world. It has fed billions of _x000D_
people over decades._x000D_
    But the twin challenges we face are how to make this _x000D_
program more efficient so that it reaches more people, so that _x000D_
it does the best we can with taxpayer dollars. Yet how do we _x000D_
sustain food aid so that we do not, by making changes that _x000D_
pursue efficiency, suddenly wake up and realize we have lost _x000D_
half or two-thirds of the funding, and in reaching to feed 8 _x000D_
million to 12 million more, ultimately end up feeding fewer? _x000D_
That is the political Rubik's Cube that we need to work _x000D_
together to solve._x000D_
    There is no doubt. There have been studies from GAO to _x000D_
George Mason to nonprofit groups. There is no doubt the current _x000D_
system is inefficient, and it wastes a significant amount both _x000D_
of the commodity and costs. But the core question is, Can we _x000D_
make it both more efficient and more sustainable? I really look _x000D_
forward to working with both of you to achieve that goal._x000D_
    Thank you for this hearing today."
2923507,2923506,2923508,19196,1,"    Thank you. And I think people should know, _x000D_
for the record, one of the reasons that we are having this _x000D_
hearing today is a commitment that was made to Senator Coons, _x000D_
as we closed out last year, that we would deal with this issue. _x000D_
So I thank him for his leadership._x000D_
    Our first witness is director Dina Esposito, as long as she _x000D_
is here, from the USAID Office of Food for Peace. Director _x000D_
Esposito manages the Food for Peace program, which responds to _x000D_
acute food insecurity by providing in-kind food aid locally and _x000D_
regionally procured food aid, food vouchers, and cash transfers _x000D_
to millions of people affected by conflict and natural _x000D_
disasters annually._x000D_
    In addition, it also supports interventions in critical _x000D_
areas such as nutrition, health, agriculture, and livelihood to _x000D_
address the underlying causes of poverty and hunger among the _x000D_
poorest of the poor with development food aid._x000D_
    Thank you for being here and sharing your thoughts. Please _x000D_
take however long you wish to share those thoughts. Then we _x000D_
will have questions. Thank you very much."
2923508,2923507,2923509,19196,2,"    Thank you. Thank you very much for what you _x000D_
and your staff do on behalf of our country. It is deeply _x000D_
appreciated._x000D_
    Just to begin, what would be the implications for U.S. _x000D_
national security if you did not have the flexibility that you _x000D_
now have in Syria and in the region in delivering aid, and you _x000D_
had to rely solely on U.S. commodities?"
2923509,2923508,2923510,19196,2,"    So, critics of us not purchasing food created _x000D_
in the United States say that it increases the chance of using _x000D_
unsafe food._x000D_
    In the places where we have been able to use local and _x000D_
regional food, has this been a problem?"
2923510,2923509,2923511,19196,2,"    So if I hear you correctly, that allegation _x000D_
is a hoax."
2923511,2923510,2923512,19196,2,"    Okay._x000D_
    Critics of reform also claim that cash-based programs _x000D_
transfer cash from the United States to corrupt governments, _x000D_
but we know that the aid is being provided directly to _x000D_
beneficiaries. So can you discuss this issue for us?"
