,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
0,Memorandum on Assistance to Refugees of Tajikistan,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,George Bush,"January 19, 1993",,19930125
1,Memorandum on Fetal Tissue Transplantation Research,Memorandum for the Secretary of Health and Human Services,Federal Funding of Fetal Tissue Transplantation Research,,,William J. Clinton,"January 22, 1993",,19930125
2,Memorandum on the Title X ``Gag Rule'',Memorandum for the Secretary of Health and Human Services,The Title X ``Gag Rule'',,,William J. Clinton,"January 22, 1993",,19930125
3,Memorandum on the Mexico City Policy,Memorandum for the Acting Administrator of the Agency for International Development,AID Family Planning Grants/Mexico City Policy,,,William J. Clinton,"January 22, 1993",,19930125
4,Memorandum on Abortions in Military Hospitals,Memorandum for the Secretary of Defense,Privately Funded Abortions at Military Hospitals,,,William J. Clinton,"January 22, 1993",,19930125
5,Memorandum on Importation of RU-486,Memorandum for the Secretary of Health and Human Services,Importation of RU-486,,,William J. Clinton,"January 22, 1993",,19930125
6,Memorandum on Ending Discrimination in the Armed Forces,Memorandum for the Secretary of Defense,Ending Discrimination on the Basis of Sexual Orientation in the Armed Forces,,,William J. Clinton,"January 29, 1993",,19930201
7,Memorandum on Review of Regulations,Memorandum for the Acting Director,,,,William J. Clinton,"January 21, 1993",,19930201
8,Memorandum on Delegation of Authority Concerning Reports on Russian ,Memorandum for the Secretary of State,Delegation of Authority With Respect to Reports Concerning Russian Military Exports,,,William J. Clinton,"February 3, 1993",,19930208
9,Memorandum on Fiscal Responsibility,Memorandum for the Heads of Executive Departments and Agencies and Employees of the Executive Office of the President,Government Fiscal Responsibility and Reducing Perquisites,,,William J. Clinton,"February 10, 1993",,19930215
10,Memorandum on Restriction of Government Aircraft,Memorandum for the Heads of Executive Departments and Agencies and Employees of the Executive Office of the President,,,,William J. Clinton,"February 10, 1993",,19930215
11,Memorandum on Use of Government Vehicles,Memorandum for the Heads of Executive Departments and Agencies,Use of Government Vehicles,,,William J. Clinton,"February 10, 1993",,19930215
12,Memorandum on Certification of Major Narcotics Producing and Transit ,Memorandum for the Secretary of State,Certification for Major Narcotics Producing and Transit Countries,,,William J. Clinton,"March 31, 1993",,19930405
13,Memorandum on Trade With the People's Republic of China,Memorandum for the Secretary of State,"Determination Under Section 2(b)(2)(D) of the Export-Import Bank Act of 1945, as amended: People's Republic of China",,,William J. Clinton,"April 15, 1993",,19930419
14,Memorandum on Funding for Sanctions Against Serbia and Montenegro,Memorandum for the Secretary of State,Transfer of $5 Million in FY 1993 Foreign Military Financing Funds to the Peacekeeping Operations Account for Enforcement of Sanctions Against Serbia and Montenegro,,,William J. Clinton,"May 3, 1993",,19930510
15,Memorandum on Assistance to Refugees and Victims in Bosnia and Croatia,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"May 19, 1993",,19930524
