ID,People
0,"Giffords, Gabrielle D."
1,"Lynch, Loretta E."
2,"Cuomo, Andrew M."
3,"Cuomo, Chris"
4,"Cuomo, Madeline"
5,"Cuomo, Margaret"
6,"Cuomo, Mario M."
7,"Cuomo, Matilda"
8,"Obama, Michelle"
9,"Obama, Michelle."
10,"Plouffe, David"
11,"Stewart, Mitchell"
12,"Abdulmutallab, Umar Farouk"
13,"Brennan, John O."
14,"Cohn, Gary D."
15,"Gorsuch, Neil M."
16,"Mnuchin, Steven T."
17,"Obama, Barack"
18,"Pence, Michael R."
19,"Saipov, Sayfullo"
20,"Yellen, Janet L."
21,"Clinton, Hillary Rodham"
22,"Obama, Malia"
23,"Obama, Natasha ""Sasha"""
24,"Deese, Brian C."
25,"Fallon, Katherine Beirne"
26,"Andrews, Robert E."
27,"Childs, Edith"
28,"Christie, Christopher J."
29,"Corzine, Jon S."
30,"Faison, Gwendolyn A."
31,"Parks, J. Anne"
32,"Rothman, Steven R."
33,"Erdogan, Recep Tayyip"
34,"Aldridge, Rasheen, Jr."
35,"Beary, Richard"
36,"Holder, Eric H., Jr."
37,"Packnett, Brittany"
38,"Ramsey, Charles H."
39,"Robinson, Laurie"
40,"Bush, George W."
41,"Colfax, Grant"
42,"Collins, Francis S."
43,"Dybul, Mark"
44,"Gates, William H., III"
45,"Goosby, Eric"
46,"Kerry, John F."
47,"Lee, Barbara J."
48,"Sebelius, Kathleen"
49,"Sidibé, Michel"
50,"Tutu, Desmond M."
51,"Zinkernagel, Deborah von"
52,"Clinton, William J."
53,"Fisher, Mary"
54,"Gupta, Sanjay"
55,"Hewson, Paul D. ""Bono"""
56,"Johnson, Earvin ""Magic,"" Jr."
57,"Keys, Alicia"
58,"Kikwete, Jakaya Mrisho"
59,"Ray, Randy"
60,"White-Ginder, Jeanne."
61,"Biden, Joseph R., Jr."
62,"Lugar, Richard G."
63,"Powell, Alma J."
64,"Powell, Colin L."
65,"Brady, Kevin P."
66,"Cook, Timothy D."
67,"Cornyn, John, III"
68,"Cotton, Thomas B."
69,"Foley, Christopher"
70,"Goodlatte, Robert W."
71,"Gottlieb, Scott"
72,"Hatch, Orrin G."
73,"Justice, Cathy"
74,"Justice, James C. II"
75,"McCarthy, Kevin O."
76,"McConnell, A. Mitchell"
77,"Murkowski, Lisa A."
78,"Pelosi, Nancy"
79,"Perdue, David A., Jr."
80,"Rodgers, Cathy McMorris"
81,"Ryan, Paul D."
82,"Scalise, Stephen J."
83,"Scott, Timothy E."
84,"Sullivan, Daniel S."
85,"Thune, John R."
86,"Young, Donald E."
87,"Alexander, Monica"
88,"Bell, Ashley D."
89,"Carson, Benjamin S., Sr."
90,"Cleveland, William C."
91,"Davis, James"
92,"Davis, Landon T."
93,"Dennard, Paris"
94,"LeVell, Leah V."
95,"Manigault, Omarosa O."
96,"Matthews, Earl"
97,"Patton, Lynne Martine"
98,"Robinson, Gerard T."
99,"Scott, Belinda C."
100,"Scott, Darrell C."
101,"Smith, Ja'Ron K."
102,"Williams, Armstrong"
103,"Diaz-Balart, Mario"
104,"Johnson, Jeh C."
105,"Arnold, Frances H."
106,"Bard, Allen J."
107,"Blum, Samuel E."
108,"Campbell, Edward"
109,"Carruthers, George"
110,"Chisholm, Sallie W."
111,"Chu, Steven"
112,"Drell, Sidney D."
113,"Faber, Sandra M."
114,"Gates, S. James, Jr."
115,"Golomb, Solomon W."
116,"Goodenough, John B."
117,"Hawthorne, M. Frederick"
118,"Hood, Leroy"
119,"Langer, Robert"
120,"Mazur, Barry C."
121,"McCombs, Norman R."
122,"Peyman, Gholam A."
