,Title,Date,Num,Filed,Subject,Category,CPD Number,Administration
0,"Proclamation 6522--Braille Literacy Week, 1993","January 5, 1993",6522,2:28 p.m. January 6 ,,,6522,George Bush
1,"Proclamation 6523--National Law Enforcement Training Week, 1993","January 5, 1993",6523,3:57 p.m. January 6 ,,,6523,George Bush
2,"Proclamation 6520--National Good Teen Day, 1993","December 23, 1992",6520,4:31 p.m. January 4 ,,,6520,George Bush
3,"Proclamation 6521--National Sanctity of Human Life Day, 1993","January 4, 1993",6521,4:32 p.m. January 4 ,,,6521,George Bush
4,"Proclamation 6524--Martin Luther King, Jr., Federal Holiday, 1993","January 11, 1993",6524,11:27 a.m. January 12 ,,,6524,George Bush
5,Proclamation 6525--National Day of Fellowship and Hope,"January 20, 1993",6525,11:33 a.m. January 21 ,,,6525,William J. Clinton
6,Proclamation 6526--Death of Thurgood Marshall,"January 24, 1993",6526,1:45 a.m. January 25 ,,,6526,William J. Clinton
7,"Proclamation 6527--National Women and Girls in Sports Day, 1993","February 3, 1993",6527,2:11 p.m. February 4 ,,,6527,William J. Clinton
8,"Proclamation 6528--American Heart Month, 1993","February 14, 1993",6528,11:11 a.m. February 16 ,,,6528,William J. Clinton
9,"Proclamation 6529--National Visiting Nurse Associations Week, 1993","February 18, 1993",6529,12:05 p.m. February 19 ,,,6529,William J. Clinton
10,"Proclamation 6530--American Wine Appreciation Week, 1993","February 23, 1993",6530,5:01 p.m. February 23 ,,,6530,William J. Clinton
11,"Proclamation 6531--National FFA Organization Awareness Week, 1993","February 25, 1993",6531,3:17 p.m. February 26 ,,,6531,William J. Clinton
12,"Proclamation 6532--Save Your Vision Week, 1993","March 5, 1993",6532,11:33 a.m. March 8 ,,,6532,William J. Clinton
13,"Proclamation 6533--Irish-American Heritage Month, 1993","March 6, 1993",6533,11:34 a.m. March 8 ,,,6533,William J. Clinton
14,"Proclamation 6534--To Revoke Proclamation No. 6491 of October 14, 1992","March 6, 1993",6534,4:21 p.m. March 8 ,,,6534,William J. Clinton
15,"Proclamation 6535--American Red Cross Month, 1993","March 17, 1993",6535,4:56 p.m. March 18 ,,,6535,William J. Clinton
16,"Proclamation 6536--National Poison Prevention Week, 1993","March 17, 1993",6536,5:08 p.m. March 18 ,,,6536,William J. Clinton
17,"Proclamation 6537--Women's History Month, 1993","March 19, 1993",6537,2:23 p.m. March 22 ,,,6537,William J. Clinton
18,"Proclamation 6538--National Agriculture Day, 1993","March 20, 1993",6538,2:25 p.m. March 22 ,,,6538,William J. Clinton
19,"Proclamation 6539--Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 1993","March 25, 1993",6539,11:38 a.m. March 26 ,,,6539,William J. Clinton
20,"Proclamation 6540--Education and Sharing Day, U.S.A., 1993","April 2, 1993",6540,3:24 p.m. April 2 ,,,6540,William J. Clinton
21,"Proclamation 6541--National Former Prisoner of War Recognition Day, 1993","April 9, 1993",6541,11:47 a.m. April 12 ,,,6541,William J. Clinton
