ID,Topic
0,Holidays and special observances
1,Voluntarism
2,"Presidency, U.S"
3,Addresses and Remarks
4,Notices
5,Statements by the President
6,Supplementary Materials
7,Arizona
8,Civil rights
9,Connecticut
10,Employment and unemployment
11,Energy
12,Environment
13,Health and medical care
14,"Justice, Department of"
15,Law enforcement and crime
16,Statements Other Than Presidential
17,Appointments and Nominations
18,Deaths
19,New York
20,"Budget, Federal"
21,Congress
22,"Legislation, proposed"
23,Taxation
24,"Armed Forces, U.S"
25,Business and industry
26,Communications
27,"Economy, national"
28,"Education, Department of"
29,Education
30,Elections
31,Iowa
32,Iraq
33,Science and technology
34,Transportation
35,Afghanistan
36,Aviation
37,Central Intelligence Agency
38,"Foreign policy, U.S"
39,Pakistan
40,Terrorism
41,White House Office
42,Yemen
43,Cabinet meetings
44,China
45,"Commerce, international"
46,Cuba
47,Immigration and naturalization
48,Judiciary
49,"Reserve System, Federal"
50,"Treasury, Department of the"
51,Ohio
52,Proclamations
53,"Defense, Department of"
54,"Legislation, enacted"
55,Social Security and retirement
56,Children and youth
57,Labor issues
58,Sudan
59,"Health and Human Services, Department of"
60,New Jersey
61,Executive Orders
62,Bill Signings
63,France
64,North Atlantic Treaty Organization
65,Russia
66,Syria
67,Turkey
68,"Defense, Department"
69,Missouri
70,Diseases
71,HIV/AIDS
72,"State, Department of"
73,United Nations
74,Pennsylvania
75,Africa
76,Developing countries
77,District of Columbia
78,George Washington University
79,Tanzania
80,Arms and munitions
81,Iran
82,North Korea
83,Nuclear weapons and material
84,Romania
85,Alaska
86,Defense and national security
87,Government organization and employees
88,"Health and Human Services, Department"
89,Republican Party
90,Veterans
91,Virginia
92,West Virginia
93,Wisconsin
94,Meetings With Foreign Leaders
95,Hungary
96,Interviews With the News Media
97,"Homeland Security, Department of"
98,"Decorations, medals, and awards"
99,"Energy, Department of"
100,Gulf of Mexico
101,"Science Foundation, National"
102,Consumer Finance  Protection Bureau
103,"Housing and Urban Development, Department of"
104,Housing
105,"African American History Month, National"
106,Social Security Administration
107,Agriculture
108,"NBC, ""Today"" program"
109,Sports
110,"Commerce, Department of"
111,World Trade Organization
112,"Community Service, Corporation for National and"
113,"Promise Alliance, America's"
114,Rhode Island
115,Kansas
116,Egypt
117,"Atomic Energy Agency, International (IAEA)"
118,Nigeria
119,Japan
120,Maryland
121,Middle East
122,"Transportation, Department of"
123,Health Care and Education Reconciliation Act of 2010
124,Maine
125,Small Business Administration
126,"Agriculture, Department of"
127,United Kingdom
128,Independent Community Bankers Association
129,Communications to Federal Agencies
130,Mettings With Foreign Leaders
131,"Lynch, Loretta E"
132,Massachusetts
133,Federal Communications Commission
134,"Housing Finance Agency, Federal"
135,Loyalty Day
136,Environmental Protection Agency
137,Philippines
138,Drug abuse and trafficking
139,Indiana
140,Trans-Pacific Partnership (TPP)
141,"Treasury, Department of"
142,Joint Statements
143,Europe
144,"Netherlands, the"
145,Ukraine
146,"BP Deepwater Horizon Oil Spill and Offshore Drilling, National Commission on the"
147,"Interior, Department of the"
148,Germany
149,Resignations and Retirements
150,Puerto Rico
151,Brazil
152,Natural disasters
153,"Cabinet, meeting with President"
154,"Management and Budget, Office of"
155,African Development Bank
156,Development banks and funds
157,"Development, U.S. Agency for International"
158,"Export-Import Bank, U.S"
159,Millennium Challenge Corporation
160,Overseas Private Investment Corporation (OPIC)
161,"Trade and Development Agency, U.S"
162,"Trade Representative, Office of the U.S., U.S. Trade Representative"
163,"Young African Leaders Initiative, President's"
164,South Dakota
165,"Labor, Department of"
166,Mexico
167,Democratic Party
168,"Medical Association, American"
169,Venezuela
170,Communications to Congress
171,Disabled American Veterans
172,Georgia
173,"Veterans Affairs, Department of"
174,Guatemala
175,Israel
176,Palestinian Authority and Palestinians
177,Sierra Leone
178,World Health Organization
179,Somalia
180,South Korea
181,Disaster assistance
182,Louisiana
183,Texas
184,Letters and Messages
185,"Midway Atoll, U.S"
186,"Papahnaumokukea Marine National Monument, expansion"
187,Jordan
188,Oregon
189,California
190,"Domestic Violence Awareness Month, National"
191,ABC
192,Administrative Conference of the United States
193,Alyce Spotted Bear and Walter Soboleff Commission on Native Children
194,"American Indian and Alaska Native Cultural and Arts Development, Institute of"
195,"American Indian and Alaska Native Culture Arts Development, Institute of"
196,"Archives and Records Administration, National"
197,Arts
198,"Cancer Advisory Board, National"
199,CBS
200,"Congo, U.S. Ambassador-designate"
201,Crooked Media
202,Cultural Property Advisory Committee
203,Cyprus
204,"Education Sciences, National Board for"
205,"Education Services, National Board for"
206,"Fitness, Sports, and Nutrition, President's Council on"
207,Florida
208,"Food and Agricultural Development, Board for International"
209,General Services Administration
210,Ghana
211,Hawaii
212,"Holocaust Memorial Council, U.S"
213,Illinois
214,India
215,"Infrastructure Advisory Council, National"
216,"International Trade Commission, U.S"
217,J. William Fulbright Foreign Scholarship Board
218,"Merchant Marine Academy, U.S"
219,"Merchant Marine Academy, U.S., Board of Visitors"
